City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
335,springbok,-29.6643,17.8865,7.75,90,100,3.06,ZA,1685410586
336,sampacho,-33.3839,-64.7221,10.23,68,0,2.64,AR,1685410587
337,ancud,-41.8697,-73.8203,7.84,90,100,2.69,CL,1685410340
338,sao jose da coroa grande,-8.8978,-35.1478,24.76,83,80,2.86,BR,1685410588
339,kristiansund,63.1115,7.732,9.03,87,100,7.72,NO,1685410589
340,grootfontein,-19.5667,18.1167,13.76,30,28,1.03,NA,1685410589
341,tara,56.8944,74.371,13.02,77,100,2.83,RU,1685410590
342,naha,26.2125,127.6811,28.95,79,75,8.23,JP,1685410591
343,mount pearl,47.5166,-52.7813,2.3,91,100,6.69,CA,1685410591
344,lisala,2.15,21.5167,20.57,98,97,0.59,CD,1685410592
345,sao desiderio,-12.3633,-44.9733,23.73,46,80,1.46,BR,1685410593
346,talnakh,69.4865,88.3972,2.34,62,100,2.72,RU,1685410594
347,novofedorivka,46.1713,32.3178,16.47,89,100,6.52,UA,1685410594
348,eyl,7.9803,49.8164,27.75,77,46,7.0,SO,1685410595
349,adrar,20.5022,-10.0711,27.63,37,88,5.45,MR,1685410596
350,maputo,-25.9653,32.5892,20.68,92,75,1.54,MZ,1685410597
351,betio village,1.358,172.9211,31.02,73,49,3.03,KI,1685410598
352,ribeira brava,32.65,-17.0667,19.84,71,21,2.72,PT,1685410599
353,nieuw amsterdam,5.8833,-55.0833,25.09,93,100,3.0,SR,1685410599
354,riviere-du-loup,47.8304,-69.5342,10.15,50,98,1.54,CA,1685410572
355,aldan,58.6031,125.3894,13.13,44,100,3.64,RU,1685410601
356,sisimiut,66.9395,-53.6735,0.64,78,100,5.87,GL,1685410602
357,nguigmi,14.2495,13.1092,28.91,20,100,3.83,NE,1685410602
358,santa terezinha,-29.9002,-50.0904,16.17,69,47,4.53,BR,1685410603
359,macae,-22.3708,-41.7869,19.86,100,75,1.03,BR,1685410603
360,nefta,33.8731,7.8777,21.14,55,51,5.81,TN,1685410604
361,hoemul-li,41.4339,129.67,19.01,48,51,4.29,KP,1685410604
